Fuel: 3992029, plastic: 4710097, wood: 1419553
Fuel: 2252745, plastic: 1018855, wood: 3976354
Fuel: 12143506, plastic: 14712090, wood: 28962398
Fuel: 2645930, plastic: 1901165, wood: 3918749
Fuel: 1509631, plastic: 1657270, wood: 4989493
Fuel: 27537710, plastic: 23959588, wood: 51587342
Fuel: 38527788, plastic: 19056952, wood: 40417547
Fuel: 106342, plastic: 4514878, wood: 608811
Fuel: 346657, plastic: 1713050, wood: 224964
Fuel: 34437997, plastic: 13412395, wood: 28506018
Fuel: 34289169, plastic: 25068427, wood: 54208436
Fuel: 3370146, plastic: 3284634, wood: 4632193
Fuel: 15618098, plastic: 11732176, wood: 22266782
Fuel: 9338639, plastic: 8205615, wood: 15852900
Fuel: 38459334, plastic: 21243856, wood: 43319227
Fuel: 10072414, plastic: 14714182, wood: 31392601
Fuel: 35874633, plastic: 25875835, wood: 55014341
Fuel: 464798, plastic: 3337624, wood: 3067763
Fuel: 37687553, plastic: 14694423, wood: 29316798
Fuel: 7863961, plastic: 8561875, wood: 16987538
Fuel: 40860611, plastic: 25190777, wood: 53784990
Fuel: 19926033, plastic: 22211259, wood: 44806669
Fuel: 33125287, plastic: 18631015, wood: 39942531
Fuel: 27934134, plastic: 12605870, wood: 26188115
Fuel: 16624755, plastic: 12098179, wood: 26496741
Fuel: 3961357, plastic: 1515496, wood: 838336
Fuel: 15144987, plastic: 17143911, wood: 34717761
Fuel: 20017428, plastic: 18605148, wood: 36596671
Fuel: 4720846, plastic: 4638653, wood: 906729
Fuel: 14195407, plastic: 12037331, wood: 21975327
Fuel: 36329675, plastic: 20276729, wood: 40159213
Fuel: 27209402, plastic: 12105656, wood: 24756616
Fuel: 29091713, plastic: 10970419, wood: 22387548
Fuel: 35907578, plastic: 16535542, wood: 34446264
Fuel: 1227050, plastic: 2960089, wood: 2229863
Fuel: 191877, plastic: 4173676, wood: 2725184
Fuel: 3483201, plastic: 5303053, wood: 11059551
Fuel: 27427682, plastic: 13626250, wood: 30083614
Fuel: 33449124, plastic: 18794366, wood: 38927615
Fuel: 19363681, plastic: 12678383, wood: 24751742
Fuel: 27320932, plastic: 10923602, wood: 20901415
Fuel: 2324391, plastic: 897271, wood: 3095109
Fuel: 1613008, plastic: 1200842, wood: 1353271
Fuel: 22994228, plastic: 18976042, wood: 40482776
Fuel: 453955, plastic: 140947, wood: 740555
Fuel: 5710439, plastic: 3846705, wood: 6307760
Fuel: 13691221, plastic: 8767095, wood: 17038947
Fuel: 1512942, plastic: 1931292, wood: 4819193
Fuel: 4645465, plastic: 2750144, wood: 507158
Fuel: 1047995, plastic: 4430429, wood: 3660185
Fuel: 472745, plastic: 2310438, wood: 1898273
Fuel: 21720308, plastic: 10332056, wood: 21275035
Fuel: 38983238, plastic: 21196580, wood: 43750304
Fuel: 44466039, plastic: 27486683, wood: 56955952
Fuel: 4527584, plastic: 4094393, wood: 1329606
Fuel: 8122280, plastic: 13092032, wood: 27842953
Fuel: 38061598, plastic: 19839674, wood: 40357329
Fuel: 3532002, plastic: 3102543, wood: 3666090
Fuel: 42356228, plastic: 26097342, wood: 56562917
Fuel: 1109085, plastic: 733458, wood: 4223188
Fuel: 35426810, plastic: 16816002, wood: 36591163
Fuel: 18587994, plastic: 9012800, wood: 16111172
Fuel: 11179502, plastic: 14889514, wood: 31314111
Fuel: 11487508, plastic: 5761910, wood: 8570992
Fuel: 1253892, plastic: 3593900, wood: 3899590
Fuel: 27961686, plastic: 22397892, wood: 48476471
Fuel: 16547016, plastic: 20964370, wood: 42658256
Fuel: 32878400, plastic: 22143812, wood: 46381774
Fuel: 37772324, plastic: 16417188, wood: 36338757
Fuel: 4869503, plastic: 2733601, wood: 46888
Fuel: 3729088, plastic: 3211508, wood: 4089440
Fuel: 21179301, plastic: 15654335, wood: 32099187
Fuel: 2715052, plastic: 2062107, wood: 3006557
Fuel: 639059, plastic: 4423809, wood: 719183
Fuel: 30556117, plastic: 11541981, wood: 23913304
Fuel: 28137327, plastic: 21368103, wood: 43886812
Fuel: 12136441, plastic: 9367789, wood: 19173349
Fuel: 18792964, plastic: 11751130, wood: 24710653
Fuel: 1047777, plastic: 3066849, wood: 2981297
Fuel: 568490, plastic: 2693673, wood: 2250900
Fuel: 17220417, plastic: 11762599, wood: 24594188
Fuel: 21854100, plastic: 14156262, wood: 29954163
Fuel: 4242203, plastic: 2904304, wood: 3162451
Fuel: 43457318, plastic: 25940942, wood: 55672117
Fuel: 4651554, plastic: 4230374, wood: 3307420
Fuel: 43048725, plastic: 28079819, wood: 57343981
Fuel: 1158207, plastic: 39237, wood: 1363785
Fuel: 17313363, plastic: 13633359, wood: 29096128
Fuel: 1294295, plastic: 3435831, wood: 433220
Fuel: 453494, plastic: 3119376, wood: 1300115
Fuel: 33421500, plastic: 20477592, wood: 43797827
Fuel: 2434291, plastic: 3841833, wood: 4146074
Fuel: 377086, plastic: 1896799, wood: 1779091
Fuel: 38656967, plastic: 26838967, wood: 57886931
Fuel: 346059, plastic: 3196711, wood: 4046785
Fuel: 10257865, plastic: 7795035, wood: 14853669
Fuel: 3730933, plastic: 1824990, wood: 4715697
Fuel: 6517603, plastic: 6297025, wood: 9771330
Fuel: 503573, plastic: 4236642, wood: 2361496
Fuel: 31262934, plastic: 15741432, wood: 34667490
Fuel: 20561410, plastic: 15492516, wood: 33397171
Fuel: 35743990, plastic: 26777550, wood: 56262073
Fuel: 1677103, plastic: 1865149, wood: 3666933
Fuel: 8923784, plastic: 11558368, wood: 23942461
Fuel: 1920021, plastic: 641416, wood: 1317238
Fuel: 4946175, plastic: 6388757, wood: 12310686
Fuel: 2264973, plastic: 3200858, wood: 4608594
Fuel: 1592688, plastic: 966661, wood: 3983289
Fuel: 37542776, plastic: 17511432, wood: 34544676
Fuel: 15321610, plastic: 19499014, wood: 41428812
Fuel: 16983256, plastic: 14137944, wood: 28908890
Fuel: 2700030, plastic: 4861797, wood: 4606852
Fuel: 24957194, plastic: 20020002, wood: 40866474
Fuel: 23355727, plastic: 14604431, wood: 31067400
Fuel: 12968573, plastic: 18143691, wood: 39243672
Fuel: 7820622, plastic: 7326552, wood: 13984343
Fuel: 35896463, plastic: 21402009, wood: 43582552
Fuel: 3012411, plastic: 2325510, wood: 2583979
Fuel: 2465580, plastic: 76638, wood: 2268962
Fuel: 3061543, plastic: 467084, wood: 367572
Fuel: 15695740, plastic: 14520702, wood: 29282842
Fuel: 19320615, plastic: 10100429, wood: 18683221
Fuel: 1417529, plastic: 1148117, wood: 583114
Fuel: 18756057, plastic: 17131569, wood: 35946899
Fuel: 24516494, plastic: 11297442, wood: 24975316
Fuel: 34384762, plastic: 13704266, wood: 26910491
Fuel: 311896, plastic: 3631362, wood: 581257
Fuel: 33433909, plastic: 19342237, wood: 41724758
Fuel: 39119268, plastic: 23565672, wood: 48564685
Fuel: 10168400, plastic: 8139220, wood: 17578769
Fuel: 40557679, plastic: 28562251, wood: 58507081
Fuel: 3730590, plastic: 1973385, wood: 2173603
Fuel: 3989204, plastic: 1932767, wood: 2108400
Fuel: 146433, plastic: 3058707, wood: 1099038
Fuel: 18417455, plastic: 16913335, wood: 34389875
Fuel: 41467980, plastic: 22695690, wood: 48531710
Fuel: 18618636, plastic: 11050510, wood: 22578316
Fuel: 15272065, plastic: 8424623, wood: 17877705
Fuel: 31386384, plastic: 16937578, wood: 34348937
Fuel: 3933587, plastic: 1277836, wood: 375115
Fuel: 4966255, plastic: 248178, wood: 2714942
Fuel: 18019720, plastic: 11651720, wood: 23578577
Fuel: 4240239, plastic: 3625783, wood: 5156147
Fuel: 2995199, plastic: 4886513, wood: 10103923
Fuel: 6158847, plastic: 3992617, wood: 6668489
Fuel: 33154742, plastic: 23133070, wood: 46729522
Fuel: 35525122, plastic: 26519548, wood: 57272856
Fuel: 604687, plastic: 1334153, wood: 463218
Fuel: 9728251, plastic: 8893827, wood: 16562132
Fuel: 986806, plastic: 4480708, wood: 1752774
Fuel: 13834764, plastic: 14949394, wood: 30999724
Fuel: 2182745, plastic: 3635073, wood: 4059777
Fuel: 19226510, plastic: 19950336, wood: 42627081
Fuel: 4759844, plastic: 2537836, wood: 650999
Fuel: 4277682, plastic: 2794972, wood: 203320
Fuel: 10226879, plastic: 11489093, wood: 21295828
Fuel: 26780953, plastic: 19550847, wood: 41448345
Fuel: 21883716, plastic: 22229536, wood: 47286082
Fuel: 10634347, plastic: 18130859, wood: 38923435
Fuel: 38235057, plastic: 27121511, wood: 56024044
Fuel: 41655595, plastic: 22486639, wood: 45858548
Fuel: 5326479, plastic: 4398977, wood: 5443601
Fuel: 4726611, plastic: 309949, wood: 133593
Fuel: 43790869, plastic: 29558925, wood: 62531274
Fuel: 2048961, plastic: 572667, wood: 315014
Fuel: 4015296, plastic: 175254, wood: 1033812
Fuel: 20976495, plastic: 13481883, wood: 28992086
Fuel: 41139222, plastic: 20682288, wood: 44086903
Fuel: 39961387, plastic: 21911037, wood: 45314460
Fuel: 10692015, plastic: 13959685, wood: 27715519
Fuel: 2367549, plastic: 247915, wood: 3551925
Fuel: 12699178, plastic: 7694260, wood: 16569206
Fuel: 41455804, plastic: 28056470, wood: 59261098
Fuel: 40596573, plastic: 23805839, wood: 52431935
Fuel: 23348247, plastic: 21916335, wood: 47844377
Fuel: 32411586, plastic: 17285980, wood: 37199836
Fuel: 48273, plastic: 1298678, wood: 3338090
Fuel: 8588836, plastic: 11655932, wood: 24711454
Fuel: 519877, plastic: 3321318, wood: 1127678
Fuel: 27240687, plastic: 21095151, wood: 46011694
Fuel: 27051909, plastic: 17933675, wood: 34930507
Fuel: 2620424, plastic: 4060591, wood: 1743513
Fuel: 15114038, plastic: 13583370, wood: 25434923
Fuel: 4235584, plastic: 2158741, wood: 1111436
Fuel: 3743300, plastic: 446171, wood: 4967198
Fuel: 19337803, plastic: 16302677, wood: 32842068
Fuel: 2224494, plastic: 2314320, wood: 2140655
Fuel: 18194852, plastic: 7761396, wood: 15795601
Fuel: 15089957, plastic: 10597943, wood: 18974934
Fuel: 4071439, plastic: 294663, wood: 3466669
Fuel: 29606688, plastic: 14085356, wood: 28008293
Fuel: 2108657, plastic: 2171562, wood: 1836438
Fuel: 2466036, plastic: 712146, wood: 776324
Fuel: 13671239, plastic: 16268829, wood: 34075696
Fuel: 23712457, plastic: 13612493, wood: 29623668
Fuel: 31341899, plastic: 17055013, wood: 35000535
Fuel: 3166870, plastic: 1530186, wood: 826783
Fuel: 22046671, plastic: 14013353, wood: 30254909
Fuel: 10834006, plastic: 8678726, wood: 18782403
Fuel: 40771872, plastic: 26320064, wood: 55098061
Fuel: 24410901, plastic: 21278229, wood: 46519606
Fuel: 17339579, plastic: 10891657, wood: 20363337
Fuel: 42296411, plastic: 28180779, wood: 60861210
Fuel: 4839361, plastic: 3631287, wood: 1258490
Fuel: 3862715, plastic: 3846462, wood: 941869
Fuel: 15227063, plastic: 17752247, wood: 36721498
Fuel: 12939150, plastic: 6342780, wood: 13539988
Fuel: 16670624, plastic: 7980174, wood: 14276874
Fuel: 8790024, plastic: 15790610, wood: 32039189
Fuel: 23959280, plastic: 14315758, wood: 29039890
Fuel: 26588445, plastic: 10099541, wood: 20792194
Fuel: 31750019, plastic: 17228531, wood: 37334408
Fuel: 38306495, plastic: 19233969, wood: 42029258
Fuel: 27143326, plastic: 14286462, wood: 27682732
Fuel: 17757464, plastic: 19303496, wood: 38330081
Fuel: 4117277, plastic: 134251, wood: 2096182
Fuel: 2493548, plastic: 1766293, wood: 4081618
Fuel: 26438450, plastic: 15751462, wood: 34204433
Fuel: 20377228, plastic: 17254354, wood: 36000697
Fuel: 26623406, plastic: 21650448, wood: 44662258
Fuel: 882139, plastic: 2264396, wood: 4581258
Fuel: 5863719, plastic: 9166007, wood: 19149110
Fuel: 7680488, plastic: 9545710, wood: 17041184
Fuel: 9457532, plastic: 7956614, wood: 15142829
Fuel: 2618193, plastic: 3688169, wood: 2853851
Fuel: 13045640, plastic: 5224492, wood: 10884081
Fuel: 1530268, plastic: 3516526, wood: 4297824
Fuel: 37132729, plastic: 27759649, wood: 59195424
Fuel: 791839, plastic: 881418, wood: 725924
Fuel: 37255690, plastic: 19425560, wood: 38399968
Fuel: 2825142, plastic: 29205, wood: 3678090
Fuel: 9493992, plastic: 12390604, wood: 25239849
Fuel: 25048805, plastic: 22319309, wood: 46138168
Fuel: 4193318, plastic: 4163440, wood: 636259
Fuel: 1328506, plastic: 160251, wood: 306777
Fuel: 781, plastic: 1332091, wood: 380499
Fuel: 9289111, plastic: 10160499, wood: 21916826
Fuel: 41493018, plastic: 21082200, wood: 43023925
Fuel: 21928451, plastic: 11025603, wood: 20664244
Fuel: 3224926, plastic: 1302241, wood: 2217513
Fuel: 675017, plastic: 3370925, wood: 4909439
Fuel: 573975, plastic: 2460849, wood: 4671641
Fuel: 379469, plastic: 1365517, wood: 2431501
Fuel: 3621335, plastic: 1768591, wood: 3792881
Fuel: 18039610, plastic: 12056810, wood: 22431507
Fuel: 4048474, plastic: 2079222, wood: 562603
Fuel: 3850285, plastic: 3912396, wood: 2853711
Fuel: 1580060, plastic: 67239, wood: 4755831
Fuel: 3219781, plastic: 2166933, wood: 3844683
Fuel: 20858157, plastic: 19865423, wood: 42236540
Fuel: 36371328, plastic: 14459608, wood: 29867333
Fuel: 3360612, plastic: 4026550, wood: 2789137
Fuel: 33150142, plastic: 12448050, wood: 26760010
Fuel: 9675251, plastic: 4967989, wood: 9141049
Fuel: 15376258, plastic: 13398670, wood: 25014067
Fuel: 357194, plastic: 2979557, wood: 2405483
Fuel: 22720183, plastic: 18059205, wood: 36791978
Fuel: 37716294, plastic: 18848136, wood: 40875386
Fuel: 865803, plastic: 1157657, wood: 4359805
Fuel: 1993153, plastic: 3494632, wood: 1364740
Fuel: 31609935, plastic: 25337249, wood: 53573728
Fuel: 22449453, plastic: 10471825, wood: 19370798
Fuel: 4654891, plastic: 4875694, wood: 890881
Fuel: 33651085, plastic: 14700919, wood: 30062266
Fuel: 32266206, plastic: 15056194, wood: 29290467
Fuel: 1345819, plastic: 336310, wood: 3649217
Fuel: 39256136, plastic: 15957140, wood: 31389093
Fuel: 1389688, plastic: 2994737, wood: 2966984
Fuel: 3806573, plastic: 3867656, wood: 4766931
Fuel: 33632252, plastic: 18954528, wood: 39424724
Fuel: 18747789, plastic: 12822065, wood: 26016056
Fuel: 24645504, plastic: 17892710, wood: 36363686
Fuel: 4456691, plastic: 5110649, wood: 8664816
Fuel: 4236649, plastic: 4341589, wood: 3916079
Fuel: 2869741, plastic: 194483, wood: 4705793
Fuel: 2893441, plastic: 2075257, wood: 4847688
Fuel: 4296486, plastic: 334732, wood: 2645667
Fuel: 27687602, plastic: 20352426, wood: 42739618
Fuel: 30193630, plastic: 22426256, wood: 47500182
Fuel: 26006871, plastic: 13457309, wood: 28853433
Fuel: 3512509, plastic: 490199, wood: 1782768
Fuel: 1785102, plastic: 491452, wood: 821193
Fuel: 6780026, plastic: 9450614, wood: 19747519
Fuel: 35083719, plastic: 27337859, wood: 56197615
Fuel: 1832723, plastic: 2208092, wood: 23352
Fuel: 1350938, plastic: 2466028, wood: 4156964
Fuel: 42670898, plastic: 23942840, wood: 49146282
Fuel: 3734676, plastic: 2906527, wood: 2135282
Fuel: 36433865, plastic: 19771493, wood: 40640097
Fuel: 158172, plastic: 2282169, wood: 3457607
Fuel: 40131994, plastic: 20794054, wood: 45761510
Fuel: 3523733, plastic: 2384340, wood: 4110741
Fuel: 27940636, plastic: 18860938, wood: 37587971
Fuel: 1317932, plastic: 2444508, wood: 118975
Fuel: 3370722, plastic: 1989208, wood: 3287471
Fuel: 2794941, plastic: 4203339, wood: 3148412
Fuel: 3129838, plastic: 4091277, wood: 4437416
Fuel: 4681606, plastic: 920349, wood: 1666379
Fuel: 42044296, plastic: 28131510, wood: 58338374
Fuel: 42479114, plastic: 24398536, wood: 51416282
Fuel: 26563963, plastic: 20411107, wood: 41669215
Fuel: 16537643, plastic: 10487663, wood: 19170277
Fuel: 36049126, plastic: 16961778, wood: 35408143
Fuel: 1567842, plastic: 2762520, wood: 766273
Fuel: 13843836, plastic: 18417508, wood: 38392319
Fuel: 7037979, plastic: 5563125, wood: 11571221
Fuel: 2347376, plastic: 2876349, wood: 3007282
Fuel: 21981449, plastic: 19456853, wood: 40170579
Fuel: 7844806, plastic: 13848140, wood: 28708164
Fuel: 1023103, plastic: 2486525, wood: 3697692
Fuel: 4128580, plastic: 787275, wood: 2745342
Fuel: 4456569, plastic: 3009699, wood: 4713780
Fuel: 21284703, plastic: 9460485, wood: 16873601
Fuel: 24301173, plastic: 10803927, wood: 19644009
Fuel: 268600, plastic: 2415217, wood: 1162047
Fuel: 1097185, plastic: 3164929, wood: 3306009
Fuel: 19725509, plastic: 16711397, wood: 32156270
Fuel: 25519368, plastic: 17336274, wood: 33973968
Fuel: 3298628, plastic: 840965, wood: 1598053
Fuel: 3614142, plastic: 2555895, wood: 2695122
Fuel: 2748923, plastic: 4022207, wood: 4920760
Fuel: 10078728, plastic: 4680150, wood: 9275031
Fuel: 2520195, plastic: 1505535, wood: 444872
Fuel: 29145020, plastic: 23364060, wood: 49506856
Fuel: 15290144, plastic: 18309954, wood: 35512796
Fuel: 3162212, plastic: 3250348, wood: 1154939
Fuel: 14415694, plastic: 19015014, wood: 38542280
Fuel: 24707309, plastic: 21025697, wood: 42945835
Fuel: 1529793, plastic: 1159241, wood: 2965771
Fuel: 18135423, plastic: 14415261, wood: 30640238
Fuel: 37330381, plastic: 19978529, wood: 41376127
Fuel: 4509671, plastic: 1708267, wood: 3135149
Fuel: 34747748, plastic: 25696856, wood: 52201181
Fuel: 11793013, plastic: 16802945, wood: 33196152
Fuel: 1841322, plastic: 349709, wood: 4426138
Fuel: 2201350, plastic: 4458203, wood: 3601594
Fuel: 34094445, plastic: 13520559, wood: 29143590
Fuel: 28583110, plastic: 13311686, wood: 25286626
Fuel: 26755948, plastic: 22751730, wood: 47505780
Fuel: 33554647, plastic: 14725587, wood: 29435032
Fuel: 5391095, plastic: 3504161, wood: 3874283
Fuel: 12082633, plastic: 6974321, wood: 13513257
Fuel: 20816292, plastic: 11691528, wood: 24667769
Fuel: 2379209, plastic: 1687717, wood: 3300926
Fuel: 12490508, plastic: 11345078, wood: 21100818
Fuel: 8095305, plastic: 12109617, wood: 25758125
Fuel: 32777900, plastic: 21219760, wood: 44466070
Fuel: 15342813, plastic: 6200951, wood: 11216829
Fuel: 2164404, plastic: 1597175, wood: 3853311
Fuel: 35604664, plastic: 14001514, wood: 28892552
Fuel: 37583465, plastic: 14899997, wood: 29633695
Fuel: 9868639, plastic: 13126595, wood: 26380757
Fuel: 3262180, plastic: 4181650, wood: 2154907
Fuel: 2118481, plastic: 4980979, wood: 4149667
Fuel: 2323156, plastic: 2437689, wood: 3301187
Fuel: 1178662, plastic: 1402068, wood: 3170036
Fuel: 12500237, plastic: 9031767, wood: 19070898
Fuel: 38298547, plastic: 27747961, wood: 59598134
Fuel: 17078684, plastic: 16226088, wood: 35397861
Fuel: 33060912, plastic: 19999812, wood: 41856806
Fuel: 6748946, plastic: 6053196, wood: 10923176
Fuel: 43066504, plastic: 26907194, wood: 57628333
Fuel: 4613218, plastic: 913419, wood: 894078
Fuel: 23020511, plastic: 23076397, wood: 47240094
Fuel: 31687616, plastic: 25546920, wood: 52928857
Fuel: 44912335, plastic: 27865759, wood: 58586829
Fuel: 3098749, plastic: 4357792, wood: 2219819
Fuel: 35659689, plastic: 20590477, wood: 43386985
Fuel: 2976049, plastic: 3409169, wood: 3673156
Fuel: 15240286, plastic: 17018184, wood: 33882390
Fuel: 2031339, plastic: 1239185, wood: 3112767
Fuel: 3813040, plastic: 2216718, wood: 3259014
Fuel: 1588758, plastic: 4290374, wood: 1629828
Fuel: 22156818, plastic: 9481246, wood: 20212217
Fuel: 9429189, plastic: 8062965, wood: 15724488
Fuel: 31268284, plastic: 24963070, wood: 53321212
Fuel: 2356089, plastic: 267035, wood: 1642238
Fuel: 36769802, plastic: 22814506, wood: 48987710
Fuel: 9708348, plastic: 14967902, wood: 29323771
Fuel: 1469329, plastic: 4910267, wood: 2256102
Fuel: 11985977, plastic: 17788059, wood: 37847384
Fuel: 39848115, plastic: 27317669, wood: 56940213
Fuel: 4769765, plastic: 4942598, wood: 1545502
Fuel: 36749581, plastic: 22998615, wood: 48493005
Fuel: 1962862, plastic: 2965814, wood: 272589
Fuel: 1653113, plastic: 222393, wood: 3774096
Fuel: 29128490, plastic: 12871268, wood: 27010934
Fuel: 32780395, plastic: 26411985, wood: 54193121
Fuel: 36091590, plastic: 18345374, wood: 36160380
Fuel: 30663893, plastic: 14197279, wood: 29597432
Fuel: 2990714, plastic: 2934361, wood: 4554549
Fuel: 1652600, plastic: 4944566, wood: 3368727
Fuel: 1201050, plastic: 4193848, wood: 3064105
Fuel: 35984699, plastic: 16556961, wood: 32189084
Fuel: 1269695, plastic: 4053682, wood: 3785973
Fuel: 27414583, plastic: 12845929, wood: 27746320
Fuel: 13557350, plastic: 7187854, wood: 14508147
Fuel: 27551830, plastic: 22623322, wood: 48091348
Fuel: 10615389, plastic: 11827919, wood: 23881098
Fuel: 853521, plastic: 2917641, wood: 2601795
Fuel: 4288340, plastic: 4394561, wood: 2433945
Fuel: 32318857, plastic: 12357791, wood: 24406561
Fuel: 39385443, plastic: 28051907, wood: 59230740
Fuel: 26281078, plastic: 24186632, wood: 48899390
Fuel: 24076112, plastic: 19904056, wood: 39600030
Fuel: 30496255, plastic: 15027199, wood: 31032800
Fuel: 38370760, plastic: 15898038, wood: 32347783
Fuel: 3294555, plastic: 3045279, wood: 3192627
Fuel: 13096748, plastic: 14979978, wood: 30848588
Fuel: 40913618, plastic: 28808448, wood: 59794602
Fuel: 38078145, plastic: 28558113, wood: 58824560
Fuel: 1772122, plastic: 2393204, wood: 4543068
Fuel: 8830903, plastic: 4310653, wood: 9397031
Fuel: 39692391, plastic: 18356675, wood: 37315775
Fuel: 1208188, plastic: 299386, wood: 4886922
Fuel: 3351181, plastic: 1206154, wood: 390960
Fuel: 19057854, plastic: 14770892, wood: 29664023
Fuel: 2133842, plastic: 2953881, wood: 2418897
Fuel: 2562026, plastic: 3062953, wood: 1938321
Fuel: 13371192, plastic: 11476998, wood: 21111870
Fuel: 935713, plastic: 2758713, wood: 3048560
Fuel: 331056, plastic: 2762955, wood: 2503495
Fuel: 11865062, plastic: 6315284, wood: 9487947
Fuel: 226388, plastic: 602479, wood: 3726810
Fuel: 40917750, plastic: 28490714, wood: 59708360
Fuel: 910937, plastic: 1563795, wood: 2636954
Fuel: 18699823, plastic: 12994553, wood: 25037714
Fuel: 26688504, plastic: 14069966, wood: 29963201
Fuel: 43114147, plastic: 24389169, wood: 51541576
Fuel: 19148466, plastic: 11601056, wood: 23763833
Fuel: 92716, plastic: 3880731, wood: 2316594
Fuel: 20438756, plastic: 11376630, wood: 24686237
Fuel: 4551769, plastic: 1449847, wood: 3382146
Fuel: 4945564, plastic: 2280745, wood: 1796150
Fuel: 20117620, plastic: 8777612, wood: 15868763
Fuel: 1701849, plastic: 1955993, wood: 2740819
Fuel: 4815282, plastic: 4846572, wood: 3116169
Fuel: 181877, plastic: 308281, wood: 632296
Fuel: 13007952, plastic: 9132046, wood: 16994193
